open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
195.685,196.5,194.17,194.48,40958779.0,196.5,194.17,194.48,195.685,41181753.0,1.0,0.0,AAPL,XNAS,2024-06-06T00:00:00+0000
195.42,196.9,194.88,195.87,53018496.0,196.9,194.87,195.87,195.4,54156785.0,1.0,0.0,AAPL,XNAS,2024-06-05T00:00:00+0000
194.72,195.32,193.0342,194.35,45319734.0,195.32,193.0342,194.35,194.635,47471445.0,1.0,0.0,AAPL,XNAS,2024-06-04T00:00:00+0000
192.98,194.99,192.53,194.03,49815970.0,194.99,192.52,194.03,192.9,50080539.0,1.0,0.0,AAPL,XNAS,2024-06-03T00:00:00+0000
191.44,192.57,189.91,192.25,75115100.0,192.57,189.91,192.25,191.44,75158277.0,1.0,0.0,AAPL,XNAS,2024-05-31T00:00:00+0000
190.785,192.18,190.63,191.29,49775830.0,192.18,190.63,191.29,190.76,49947941.0,1.0,0.0,AAPL,XNAS,2024-05-30T00:00:00+0000
189.51,192.247,189.51,190.29,52538500.0,192.247,189.51,190.29,189.61,53068016.0,1.0,0.0,AAPL,XNAS,2024-05-29T00:00:00+0000
191.532,192.99,189.1,189.99,52071035.0,193.0,189.1,189.99,191.51,52280051.0,1.0,0.0,AAPL,XNAS,2024-05-28T00:00:00+0000
188.82,190.58,188.0404,189.98,36326975.0,190.58,188.0404,189.98,188.82,36326975.0,1.0,0.0,AAPL,XNAS,2024-05-24T00:00:00+0000
191.0,191.0,186.625,186.88,50481918.0,191.0,186.625,186.88,190.98,51005924.0,1.0,0.0,AAPL,XNAS,2024-05-23T00:00:00+0000
192.25,192.8231,190.27,190.9,34038227.0,192.8231,190.27,190.9,192.265,34648547.0,1.0,0.0,AAPL,XNAS,2024-05-22T00:00:00+0000
191.09,192.73,190.9201,192.35,41934946.0,192.73,190.9201,192.35,191.09,42309401.0,1.0,0.0,AAPL,XNAS,2024-05-21T00:00:00+0000
189.35,191.9199,189.01,191.04,44212974.0,191.9199,189.01,191.04,189.325,44361275.0,1.0,0.0,AAPL,XNAS,2024-05-20T00:00:00+0000
189.51,190.81,189.18,189.87,41260800.0,190.81,189.18,189.87,189.51,41282925.0,1.0,0.0,AAPL,XNAS,2024-05-17T00:00:00+0000
190.516,191.095,189.6601,189.84,52779567.0,191.095,189.6601,189.84,190.47,52845230.0,1.0,0.0,AAPL,XNAS,2024-05-16T00:00:00+0000
187.98,190.65,187.38,189.72,70172471.0,190.65,187.37,189.72,187.91,70399988.0,1.0,0.0,AAPL,XNAS,2024-05-15T00:00:00+0000
187.65,188.3,186.29,187.43,50462954.0,188.3,186.29,187.43,187.51,52393619.0,1.0,0.0,AAPL,XNAS,2024-05-14T00:00:00+0000
185.435,187.1,184.62,186.28,70169719.0,187.1,184.62,186.28,185.435,72044809.0,1.0,0.0,AAPL,XNAS,2024-05-13T00:00:00+0000
184.9,185.09,182.13,183.05,50727400.0,185.09,182.13,183.05,184.9,50759496.0,1.0,0.25,AAPL,XNAS,2024-05-10T00:00:00+0000
182.56,184.65,182.12,184.57,47065371.0,184.66,182.11,184.57,182.56,48982972.0,1.0,0.0,AAPL,XNAS,2024-05-09T00:00:00+0000
